
DESKTOP24

"Nazwa komputera:","DESKTOP24"
"Nazwa marki komputera:","ASRock Z790 Steel Legend WiFi"
"System operacyjny:","Microsoft Windows 11 Professional (x64) Build 26100.7462 (24H2)"
"Rozruch UEFI:","Obecny"
"Bezpieczny rozruch:","W³¹czony"
"Integralnoœæ kodu chroniona przez hiperwizor (HVCI):","Wy³¹czony"

Procesor centralny

"Liczba pakietów procesorów (fizyczne):","1"
"Liczba rdzeni procesora:","20"
"Liczba procesorów logicznych:","28"

Intel Core i7-14700KF

"Nazwa procesora:","Intel Core i7-14700KF"
"Oryginalna czêstotliwoœæ procesora:","3400.0 MHz"
"Original Processor Frequency [MHz]:","3400"
"CPU ID:","000B0671"
"Nazwa marki procesora:","Intel(R) Core(TM) i7-14700KF"
"Dostawca procesora:","GenuineIntel"
"Krok procesora:","B0"
"Nazwa kodowa procesora:","Raptor Lake-S Refr."
"Technologia procesora:","Intel 7"
"CPU S-Spec:","SRN3Y"
"Moc termiczna procesora (TDP):","125.0 W"
"CPU VR Thermal Design Current (TDC):","240.0 A"
"Limity mocy procesora (maks.):","Moc = Nieograniczony, Czas = Nieograniczony"
"Limit mocy procesora PL1 (d³ugi czas trwania)/Podstawowa moc procesora (PBP):","Moc = 180.00 W, Czas = 56.00 sec [Odblokowany]"
"Limit mocy procesora PL2 (krótki czas trwania)/Maksymalna moc turbo (MTP):","Moc = 220.00 W, Czas = 2.44 ms [Odblokowany]"
"Maks. procesor Temperatura z³¹cza (Tj,max):","100 °C"
"Typ procesora:","Jednostka produkcyjna"
"Platforma procesora:","Socket V (LGA1700)"
"Wersja aktualizacji mikrokodu:","12F"
"Liczba rdzeni procesora:","8 x Performance, 12 x Efficient"
"Liczba procesorów logicznych:","16 x Performance, 12 x Efficient"
"LFM procesora (minimum):","800.0 MHz = 8 x 100.0 MHz"
"HFM procesora (baza):","3400.0 MHz = 34 x 100.0 MHz"
"Maks. turbodo³adowanie procesora:","5600.0 MHz = 56 x 100.0 MHz [Unlocked]"
"Limity mno¿nika turbo (P-cores) - IA/SSE:","56x (1-2c), 55x (3-8c)"
"Limity mno¿nika turbo (E-cores):","43x (1-12c)"
